given_name,Gaia DR3
vv cep,2216536246703152256
VY Canis Majoris,5616197646838713728

NML Cygni,2065235853217670656
Eta Carinae,5350358584482202880
v762 cas,534889699426804224

HIP 107418,2203889767044993920
HIP 22783,482818271843093376
HIP 54463,5337891256535666176
HIP 107259,2202630001603369856

HIP 51623,5351420437845776256
HIP 52405,5350406619413548032
HIP 51192,5351701122540337792
HIP 52004,5350668303173229824

HIP 112444,2705401759471719168
HIP 80493,6045440595422971776
Beta Phoenicis,4933453324590295040
AH Sco,5979926504430920192

rw cep,2005992002061917312
V640 Mon,3131898712120792064
AO Cas,394976501194687488
HD 041161,969823376583544576
HD 057682,3047763601330845312
P Cygni,2061242908036996352

EZ CMa,2922367976673391232
HD 30353,204531088580182016
HD 62745,3028867978609417344
HD 48716,3352789979664648064

68 Cygni,1971467916750747264
