main_id,common,Gaia DR3,Vmag,Gmag,plx,plx_err,ly_nom,ly_lb,spec,lum,var,brange,Con,RA,Dec
V* V810 Cen,TIC 322418709,5333358794709001216,5.030,4.792,0.15369,0.09270,21222,13238,G0_0-IaFe1,Ia,N/A,N/A,Cen,175.87991,-62.48939
* phi Cas,TIC 332680754,413828761929696256,4.980,4.736,0.21417,0.08385,15229,10944,F0Ia,Ia,N/A,N/A,Cas,20.02047,58.23161
V* V509 Cas,TIC 313555973,2009856132592845568,5.130,4.999,0.25073,0.06327,13008,10387,G4_0,N/A,N/A,N/A,Cas,345.02123,56.94537
* x Car,TIC 306916925,5337891256535666176,3.830,3.557,0.22276,0.10044,14642,10092,G5_0-Ia,Ia,N/A,N/A,Car,167.14740,-58.97503
* mu. Cep,TIC 260614141,2202630001603369856,4.080,2.451,0.11902,0.26369,27403,8522,M2-Ia,Ia,N/A,N/A,Cep,325.87694,58.78003
* omi01 Cen,TIC 451860101,5336490478704008960,5.097,4.724,0.32537,0.07341,10024,8179,G3_0-Ia,Ia,N/A,N/A,Cen,172.94191,-59.44205
HD 102878,TIC 303884894,5334608080460780672,5.702,5.591,0.36989,0.03657,8818,8024,A2Iab,Ia,N/A,N/A,Cen,177.61359,-62.64938
HD  70761,IDS 08186-2602 AB,5695101727992548224,5.883,5.789,0.35960,0.05370,9070,7892,F2Iab,Ia,N/A,N/A,Pup,125.70805,-26.34820
HD  12953,TIC 374968886,506778691804372736,5.680,5.477,0.38407,0.04746,8492,7558,A1Ia,Ia,N/A,N/A,Per,32.16907,58.42360
HD 199478,TIC 468549377,2166846047768767488,5.640,5.532,0.39151,0.04014,8331,7556,B7Ia,Ia,N/A,N/A,Cyg,313.95750,47.41764
*   3 Gem,GEN# +1.00042087,3425306173127304448,5.750,5.736,0.38778,0.06161,8411,7258,B2.5Ib,Ib,N/A,N/A,Gem,92.43327,23.11345
* z02 Car,LLNS  4103,5337105105696383360,5.190,5.038,0.38506,0.07002,8470,7167,B9.5Ia,Ia,N/A,N/A,Car,167.14160,-61.94717
HD 111904,LLNS  9341,6056408567538569088,5.770,5.635,0.44359,0.03096,7353,6873,B9Iab,Ia,V*,N/A,Cru,193.34119,-60.32849
* y Car,TIC 467274664,5337672556798367360,4.620,4.431,0.39320,0.08828,8295,6774,A5Iae:,Ia,N/A,N/A,Car,168.15000,-60.31762
HD 111613,TIC 435684037,6056416676437740416,5.720,5.583,0.45345,0.02962,7193,6752,B9.5Iab,Ia,N/A,N/A,Cru,192.82486,-60.32979
*   6 Cas A,ADS 17022 A,2012942564813958656,5.590,5.293,0.42644,0.06598,7648,6624,A3Ia,Ia,N/A,N/A,Cas,357.20901,62.21451
